재산피해금액,화재발생일자,화재진압시간,현장소방서거리,발생장소_시도,발생장소_시군구,발생장소_읍면,읍면동구분명,발화원인,발화열원명,발화요인소분류명,발화요인대분류명,발화열원소분류명,최초착화물대분류명,전체인력수합계,날씨,온도,습도,시간단위풍속,시간단위풍향,특보내용,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_동리,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,산림면적,계절,물가상승배수
2176,20120111,13800,6,강원,홍천,홍천,하오안리,입산자실화,담뱃불/라이터불,라이터불/성냥불,부주의,부주의,기타,72,맑음,-1,22,315,4,,수,2012,1,11,16:50,북부,하오안,입,등산객실화,,0.03,"66,533",겨울,0.896
0,20130112,3554,12,강원,양양,강현,용호리,쓰레기소각장,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,268,흐림,5,49,225,4,,토,2013,1,12,18:50,강원,용호,쓰,쓰레기소각,,0.1,"16,214",겨울,0.896
0,20140113,13300,47,강원,화천,상서,파포리,논/밭두렁,불꽃/불티,쓰레기/논밭두렁,부주의,논/임야태우기,종이/목재/건초등,56,맑음,0,0,,,,월,2014,1,13,14:40,강원,파포,기,농산폐기물 소각,,0.15,"31,898",겨울,0.896
0,20140115,15200,41,강원,삼척,도계,,미상,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,180,맑음,2,45,135,4,,수,2014,1,15,17:40,동부,흥전,입,입산자 실화 추정,,0.1,"40,519",겨울,0.896
0,20140116,34000,18,강원,정선,북평,숙암리,모닥불,불꽃/불티,비화,부주의,불씨/불꽃/화원방치,종이/목재/건초등,136,맑음,6,50,225,4,,목,2014,1,16,14:00,동부,숙암,입,입산자(수렵인)실화 추정,,0.2,"37,770",겨울,0.896
0,20140119,3020,22,강원,원주,신림,성남리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,66,맑음,-2,48,45,4,,일,2014,1,19,20:45,강원,성산,담,담뱃불 추정,,0.02,"52,641",겨울,0.896
0,20150105,4428,21,강원,강릉,주문진,주문리,미상,미상,미상,미상,미상,종이/목재/건초등,42,맑음,0,0,,,,월,2015,1,5,3:00,강원,주문,입,입산자실화 추정,,0.16,"37,109",겨울,0.896
0,20150110,14613,29,강원,강릉,왕산,대기리,미상,미상,미상,미상,미상,종이/목재/건초등,124,맑음,0,0,,,,토,2015,1,10,16:00,강원,대기,입,입산자실화 추정,,0.2,"37,109",겨울,0.896
0,20160106,3919,10,강원,고성,거진,,기타,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,73,맑음,20,22,270,4,,수,2016,1,6,16:30,강원,거진,담,담뱃불실화,,0.06,"18,473",겨울,0.896
628,20160112,3824,43,강원,양구,남,,쓰레기소각장,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,쓰레기류,84,맑음,0,26,180,4,,화,2016,1,12,15:20,강원,가오작,쓰,쓰레기소각,,0.05,"19,868",겨울,0.896
0,20160113,2151,17,강원,원주,호저,,논/밭두렁,담뱃불/라이터불,라이터불/성냥불,부주의,논/임야태우기,종이/목재/건초등,46,맑음,-3,0,180,4,,수,2016,1,13,12:05,강원,매호,기,논밭두렁소각,,0.03,"52,252",겨울,0.896
